㑳,zhòu
一條腿兒,yī　tiáo　tuǐr　(變)yì　tiáo　tuěr
一條藤兒,yītiáoténgr
一條道兒走到黑,yītiáodàorzǒudàohēi
一棍子打死,yīgùnzidǎsǐ
一樣米養百樣人,yīyàngmǐyǎngbǎiyàngrén
一樹百穫,yīshùbóhuò
一機靈,yījīling
一檔子,yīdǎngzi　（又音）yīdàngzi
一步一個腳印兒,yī　bù　yī　ge　jiǎo　yìnr　(變)yí　bù　yí　ge　jiǎo　yèr
一死兒,yī　sǐr　(變)yì　sěr
一氣兒,yī　qìr　(變)yí　qièr
一氧化碳中毒,yīyǎnghuàtànzhòngdú
一水兒,yī　shuǐr　(變)yì　shuěr
一沖性子,yīchòngxìngzi
一泡子,yīpàozi
一混湯子,yīhùntāngzi
一清二白,yīqīngèrbái
一溜兒,yīliùr
一溜子,yīliùzi
一灣子,yīwānzi
一炮而紅,yīpàoérhóng
一無所好,yīwúsuǒhào
一無長物,yīwúzhàngwù
一片散沙,yīpiànsǎnshā
一物降一物,yīwùxiángyīwù
一狐之腋,yīhúzhīyì
一班兒,yībānr(變)yìbār
一琴一鶴,yīqínyīhè
一生喫著不盡,yīshēngchīzhuóbùjìn
一發不可收拾,yīfābùkěshōushi
一百一,yībǎiyī
一百二十行,yībǎièrshíháng
一百八十度,yībǎibāshídù
一百分,yībǎifēn
一百隻麻雀炒成一盤菜,yībǎizhīmáquèchǎochéngyīpáncài
一盆火兒,yīpénhuǒr
一盤散沙,yīpánsǎnshā
一目十行,yīmùshíháng
一碧萬頃,yībìwànqǐng
一碼子,yīmǎzi
一程子,yīchéngzi
一窩兒,yīwōr
一窩子,yīwōzi
一窮二白,yīqióngèrbái
一竅通百竅通,yīqiàotōngbǎiqiàotōng
一竿子,yīgānzi
一竿子打翻一條船,yīgānzidǎfānyītiáochuán
一竿子插到底,yīgānzichādàodǐ
一筆抹煞,yībǐmǒshā
一答一和兒,yīdáyīhér
一紅二白,yīhóngèrbái
一絲沒兩氣,yīsīméiliǎngqì
一聽,yītìng
一肚子,yīdùzi
一股勁兒,yī　gǔ　jìnr　(變)yì　gǔ　jièr
一股腦兒,yīgǔnǎor
一肩兒,yījiānr(變)yìjiār
一胎生兩三個孩子,yītāishēngliǎngsāngēháizi
一腔熱血,yīqiāngrèxuè
一腦門子,yīnǎoménzi
一腳,yījiǎo
一腳地,yījiǎodì
一腳指,yījiǎozhǐ
一腳高一腳低,yījiǎogāoyījiǎodī
一致百慮,yīzhìbǎilǜ
一般廢棄物回收清除處理基金會,yībānfèiqìwùhuíshōuqīngchúchǔlǐjījīnhuì
一著,yīzhāo
一蒂兒到底,yī　dìr　dào　dǐ　(變)yí　dièr　dào　dǐ
一行三昧,yīhángsānmèi
一衝一撞,yīchōngyīzhuàng
一言中的,yīyánzhòngdì
一言喪邦,yīyánsàngbāng
一言抄百總,yīyánchāobǎizǒng
一語中人,yīyǔzhòngrén
一語中的,yīyǔzhòngdì
一語撞倒牆,yīyǔzhuàngdǎoqiáng
一踅頭,yīxuétóu
一蹴可幾,yīcùkějī
一輩兒,yī　bèir　(變)yí　bèr
一輩子,yībèizi
一遍生活兩遍做,yībiànshēnghuóliǎngbiànzuò
一過眼兒,yīguòyǎnr(變)yíguòyǎr
一部分,yībùfèn
一針見血,yīzhēnjiànxiě
一銃子性兒,yīchòngzixìngr
一錘子買賣,yīchuízimǎimai
一鍋粥,yīguōzhōu
一鍬掘個井,yīqiāojuégejǐng
一闡提,yīchántí
一陣子,yīzhènzi
一陣青一陣白,yīzhènqīngyīzhènbái
一零兒,yīlíngr
一面兒官司,yī　miànr　guān　si　(變)yí　miàr　guān　si
一順兒,yīshùnr
一頭兒沉,yītóurchén
一頭撞倒南牆,yītóuzhuàngdǎonánqiáng
一頭撞死,yītóuzhuàngsǐ
一骨碌,yīgúlu
一鱗一爪,yīlínyīzhuǎ
一鱗半爪,yīlínbànzhuǎ
一黑早,yīhēizǎo
一點兒,yī　diǎnr　(變)yì　diǎr
一點水一個泡,yīdiǎnshuǐyīgepào
一鼻子灰,yībízihuī
丁,dīng
丁丁,zhēngzhēng
丁令威化鶴,dīnglìngwēihuàhè
丁字兒,dīngzìr(變)dīngzèr
丁字腳,dīngzìjiǎo
丁字鋪,dīngzìpù
丁差,dīngchāi
丁當,dīngdàng
丁點兒,dīng　diǎnr　(變)dīng　diǎr
丂,kǎo
七,qī
七了八當,qīliǎobādàng
七事兒,qīshìr(變)qīshèr
七個八個,qīgebāge
七十二行,qīshíèrháng
七孔流血,qīkǒngliúxiě
七手八腳,qīshǒubājiǎo
七橫八縱,qīhéngbāzōng
七跌八撞,qīdiébāzhuàng
七零八散,qīlíngbāsǎn
七香車,qīxiāngchē
万,mò
万俟,mòqí
丈,zhàng
丈人行,zhàngrénháng
丈夫有淚不輕彈,zhàngfūyǒulèibùqīngtán
三,sān
三七仔,sānqīzǐ
三七兒,sān　qīr　(變)sān　qiēr
三乘,sānshèng
三人抬不過個理字,sānréntáibùguògelǐzì
三人行必有我師,sānrénxíngbìyǒuwǒshī
三保太監,sānbǎotàijiàn
三個鼻子管,sāngebíziguǎn
三傳,sānzhuàn
三冠王,sānguànwáng
三北,sānběi
三十六行,sānshíliùháng
三十年風水輪流轉,sānshíniánfēngshuǐlúnliúzhuàn
三句不離本行,sānjùbùlíběnháng
三天兩頭兒,sāntiānliǎngtóur
三好兩怯,sānhǎoliǎngqiè
三小子,sānxiǎozi
三希堂法帖,sānxītángfǎtiè
三年五載,sānniánwǔzǎi
三復,sànfù　（又音）sānfù
三復斯言,sànfùsīyán
三復白圭,sànfùbáiguī
三思,sànsī　（又音）sānsī
三思而行,sànsīérxíng
三思臺,sànsītái
三戰三北,sānzhànsānbò
三月裡的桃花,sānyuèlǐdetáohuā
三朝元老,sāncháoyuánlǎo
三框闌兒,sānkuānglánr(變)sānkuānglár
三樂,sānlè
三正,sānzhēng
三清道觀,sānqīngdàoguàn
三災八難,sānzāibānàn
三白草,sānbáicǎo
三百六十行,sānbǎiliùshíháng
三百千千,sānbǎiqiānqiān
三百篇,sānbǎipiān
三相,sānxiàng
三省,sānxǐng
三腳兩步,sānjiǎoliǎngbù
三腳採茶戲,sānjiǎocǎicháxì
三腳架,sānjiǎojià
三腳櫈,sānjiǎodèng
三腳蝦蟆沒處尋,sānjiǎohámaméichùxún
三腳貓,sānjiǎomāo
三藏,sānzàng
三藏法師,sānzàngfǎshī
三藏法師傳,sānzàngfǎshīzhuàn
三行,sānxìng
三角巾包紮法,sānjiǎojīnbāozāfǎ
三言二拍,sānyánèrpāi
三輪車,sānlúnchē
三辟,sānpì
三郎爺爺,sānlángyéye
三部曲,sānbùqǔ
三重,sānchóng
三重埔,sānchóngpǔ
三重門,sānchóngmén
三青子,sānqīngzi
三頭馬車制,sāntóumǎchēzhì
三魂掉了二魂,sānhúndiàoleèrhún
三點水兒,sān　diǎn　shuǐr　(變)sān　diǎn　shuěr
上,shàng
上乘,shàngshèng
上了歲數,shànglesuìshu
上人兒,shàng　rénr　(變)shàng　rér
上來,shànglai
上供,shànggòng
上分,shàngfen
上勁,shàngjìn
上去,shàngqu
上吐下瀉,shàngtùxiàxiè
上場白,shàngchǎngbái
上場門兒,shàng　cháng　ménr　(變)shàng　cháng　mér
上天有好生之德,shàngtiānyǒuhàoshēngzhīdé
上將,shàngjiàng
上尖兒,shàngjiānr(變)shàngjiār
上年紀,shàngniánji
上座兒,shàngzuòr
上廳行首,shàngtīnghángshǒu
上朝,shàngcháo
上朝取應,shàngcháoqǔyìng
上歲數兒,shàngsuìshur
上漲,shàngzhǎng
上當,shàngdàng
上疏,shàngshù
上相,shàngxiàng
上知,shàngzhì
上篇上論的,shàngpiānshànglùnde
上聲,shǎngshēng
上色,shàngshǎi
上行,shàngháng
上輩子,shàngbèizi
上邊,shàngbian
上門的買賣好做,shàngméndemǎimaihǎozuò
上面,shàngmian
上館子,shàngguǎnzi
上黨梆子,shàngdǎngbāngzi
下,xià
下乘,xiàshèng
下作,xiàzuo
下作黃子,xiàzuohuángzi
下功夫,xiàgōngfu
下勁,xiàjìn
下半輩子,xiàbànbèizi
下去,xiàqu
下咽,xiàyàn
下場白,xiàchángbái
下場頭,xiàchangtóu
下工夫,xiàgōngfu
下巴,xiàba
下巴頦,xiàbakē
下帖子,xiàtiězi
下得,xiàde
下得去,xiàdeqù
下板兒,xiàbǎnr(變)xiàbǎr
下梆子,xiàbāngzi
下死勁,xiàsǐjìn
下死的,xiàsǐde
下溜頭,xiàliūtou
下澤車,xiàzéchē
下的,xiàde
下腳,xiàjiǎo
下腳兒,xiàjiǎor
下腳料,xiàjiǎoliào
下腳貨,xiàjiǎohuò
下處,xiàchu
下襬,xiàbǎi
下車,xiàchē
下車之始,xiàchēzhīshǐ
下車伊始,xiàchēyīshǐ
下車作威,xiàchēzuòwēi
下車泣罪,xiàchēqìzuì
下輩子,xiàbèizi
下頦,xiàhái
下頭人,xiàtourén
下飯菜兒,xià　fàn　càir　(變)xià　fàn　càr
丌,jī
不,bù
不中使,bùzhòngshǐ
不中意,bùzhòngyì
不中抬舉,bùzhòngtáijǔ
不中相與,bùzhòngxiāngyǔ
不中聽,bùzhòngtīng
不乾不淨,bùgānbùjìng
不乾性油,bùgānxìngyóu
不乾淨,bùgānjìng
不了了當,bùliǎoliǎodàng
不予置評,bùyǔzhìpíng
不亦樂乎,bùyìlèhū
不什,bùshé
不供,bùgòng
不修帷薄,bùxiūwéibó
不值得,bùzhíde
不假外出,bùjiàwàichū
不停當,bùtíngdàng
不入調,bùrùdiào
不分主從,bùfēnzhǔzòng
不分皁白,bùfēnzàobái
不分青紅皁白,bùfēnqīnghóngzàobái
不分青紅皂白,bùfēnqīnghóngzàobái
不到得,bùdàode
不到的,bùdàode
不勝,bùshēng
不勝之態,bùshēngzhītài
不勝其擾,bùshēngqírǎo
不勝其煩,bùshēngqífán
不勝唏噓,bùshēngxīxū
不勝感喟,bùshēnggǎnkuì
不勝春,bùshēngchūn
不勝枚舉,bùshēngméijǔ
不勝衣,bùshēngyī
不勝負荷,bùshēngfùhè
不勝酒力,bùshēngjiǔlì
不勾,bùgòu
不受抬舉,bùshòutáiju
不受用,bùshòuyong
不可勝原,bùkěshēngyuán
不可勝數,bùkěshēngshǔ
不可勝書,bùkěshēngshū
不可勝紀,bùkěshēngjì
不可勝言,bùkěshēngyán
不可勝計,bùkěshēngjì
不可勝記,bùkěshēngjì
不可數,bùkěshǔ
不可逆反應,bùkěnìfǎnyìng
不吝賜教,bùlìnsìjiào
不含糊,bùhánhu
不吭氣,bùkēngqì
不問東西南北,bùwèndōngxīnánběi
不問皁白,bùwènzàobái
不問青紅白皁,bùwènqīnghóngbáizào
不問青紅皁白,bùwènqīnghóngzàobái
不在了,bùzàile
不在行,bùzàiháng
不地著,bùdìzhuó
不堪負荷,bùkānfùhè
不多一會兒工夫,bù　duō　yī　huǐr　gōng　fu　(變)bù　duō　yì　huěr　gōng　fu
不多工夫,bùduōgōngfu
不夠數兒,bùgòushùr
不大客氣,bùdàkèqi
不大說話的,bùdàshuōhuàde
不好了,bùhǎole
不好弄,bùhǎonòng
不好意思,bùhǎoyìsi
不好言笑,bùhàoyánxiào
不婚媽媽,bùhūnmāma
不學亡術,bùxuéwúshù
不學長俊,bùxuézhǎngjùn
不守本分,bùshǒuběnfèn
不守細行,bùshǒuxìxìng
不安分,bùānfèn
不安本分,bùānběnfèn
不定冠詞,bùdìngguàncí
不定量,bùdìngliàng
不對勁,bùduìjìn
不對碴兒,bùduìchár
不對茆荀兒,bù　duì　mǎo　xúnr　(變)bú　duì　mǎo　xüěr
不導體,bùdǎotǐ
不差什麼,bùchāshénme
不弟,bùtì
不徇顏面,bùxúnyánmiàn
不得主意,bùdézhǔyi
不得勁,bùdéjìn
不得空,bùdékòng
不忘本,bùwàngběn
不忘溝壑,bùwànggōuhuò
不念荷戈,bùniànhègē
不怎麼樣,bùzěnmeyàng
不怕臊,bùpàsào
不怯氣,bùquèqì
不恁麼,bùrènme
不成模樣,bùchéngmúyàng
不成樣子,bùchéngyàngzi
不戴帽兒的漢子,bùdàimàordehànzi
不打量,bùdǎliang
不拉屎的,bùlāshǐde
不拘細行,bùjūxìxìng
不捨得,bùshěde
不搭調,bùdādiào
不敢吭聲,bùgǎnkēngshēng
不數,bùshǔ
不料量,bùliàoliàng
不明不白,bùmíngbùbái
不是,bùshi
不是個兒,bùshìgèr
不是東西,bùshìdōngxi
不是樣兒,bùshìyàngr
不是沒有,bùshìméiyǒu
不是玩兒的,bùshìwánrde(變)búshìwárde
不是玩的,bùshìwánde
不是頑的,bùshìwánde
不曉得,bùxiǎode
不更事,bùjīngshì
不曾,bùcéng
不朝,bùcháo
不杖期夫,bùzhàngjīfū
不樂,bùlè
不樂觀,bùlèguān
不正經,bùzhèngjing
不殺,bùshài
不求聞達,bùqiúwèndá
不清不白,bùqīngbùbái
不為五斗米折腰,bùwèiwǔdǒumǐzhéyāo
不為米折腰,bùwèimǐzhéyāo
不熟,bùshú
不爭得,bùzhēngde
不犯著,bùfànzháo
不甘示弱,bùgānshìruò
不用本錢的勾當,bùyòngběnqiándegòudang
不用著急,bùyòngzhāojí
不由得,bùyóude
不由的,bùyóude
不當人化化,bùdāngrénhuāhuā
不當家化化,bùdāngjiāhuāhuā
不當家豁拉,bùdāngjiāhuálā
不當數,bùdàngshù
不當準,bùdàngzhǔn
不當穩便,bùdàngwěnbiàn
不當耍處,bùdāngshuǎchǔ
不疑誣金,bùyíwújīn
不白之冤,bùbáizhīyuān
不的,bùdí
不的個風兒就雨兒,bù　de　ge　fēngr　jiù　yǔr　(變)bù　de　ge　fēngr　jiù　yuěr
不相稱,bùxiāngchèng
不省,bùxǐng
不省事,bùxǐngshì
不省人事,bùxǐngrénshì
不省得,bùxǐngde
不矜不伐,bùjīnbùfá
不矜細行,bùjīnxìxìng
不知一個頭腦,bùzhīyīgetóunǎo
不知分限,bùzhīfènxiàn
不知怎的,bùzhīzěnde
不知東南西北,bùzhīdōngnánxīběi
不知皁白,bùzhīzàobái
不知葫蘆裡賣甚麼藥,bùzhīhúlúlǐmàishénmeyào
不禁,bùjīn
不禁技癢,bùjīnjìyǎng
不稂不莠,bùlángbùyǒu
不稱心,bùchèngxīn
不稱職,bùchèngzhí
不答腔,bùdāqiāng
不算什麼,bùsuànshénme
不管皁白,bùguǎnzàobái
不管青紅皁白,bùguǎnqīnghóngzàobái
不結實,bùjiēshi
不經事少年,bùjīngshìshàonián
不繆,bùmiù
不肖的東西,bùxiàodedōngxī
不能勝數,bùnéngshēngshǔ
不能盡數,bùnéngjìnshǔ
不臊,bùsào
不自禁,bùzìjīn
不自量,bùzìliàng
不自量力,bùzìliànglì
不舍晝夜,bùshězhòuyè
不舒坦,bùshūtan
不舒服,bùshūfu
不舞之鶴,bùwǔzhīhè
不良分子,bùliángfènzǐ
不良導體,bùliángdǎotǐ
不良少年,bùliángshàonián
不良帥,bùliángshuài
不良適應,bùliángshìyìng
不著,bùzháo
不著一字,bùzhuóyīzì
不著不落,bùzhuóbùluò
不著人,bùzhuórén
不著家,bùzhuójiā
不著忙,bùzháománg
不著急,bùzhāojí
不著情,bùzhuóqíng
不著意,bùzhuóyì
不著疼熱,bùzhuóténgrè
不著痕跡,bùzhuóhénjī
不著痛癢,bùzhuótòngyǎng
不著筋節,bùzhuójīnjié
不著腳,bùzhuójiǎo
不著要,bùzhuóyào
不著親,bùzhuóqīn
不著調,bùzhuódiào
不著邊際,bùzhuóbiānjì
不著領頂兒,bùzhuólǐngdǐngr
不著頭頂兒,bùzhuótóudǐngr
不薄,bùbó
不處,bùchǔ
不裹頭巾的婆婆,bùguǒtóujīndepópo
不要臉的東西,bùyàoliǎndedōngxī
不見得,bùjiànde
不見經傳,bùjiànjīngzhuàn
不言語,bùyányu
不記省,bùjìxǐng
不認得,bùrènde
不認得字的,bùrèndezìde
不誣,bùwú
不論秧子,bùlùnyāngzi
不諧當,bùxiédàng
不識抬舉,bùshìtáiju
不識相,bùshìxiàng
不護細行,bùhùxìxìng
不豐不殺,bùfēngbùshài
不起訴處分,bùqǐsùchǔfèn
不足為外人道,bùzúwèiwàiréndào
不足齒數,bùzúchǐshǔ
不辨菽麥,bùbiànshúmài
不遑寧處,bùhuángníngchǔ
不道得,bùdàode
不道的,bùdàode
不量力,bùliànglì
不長眼睛,bùzhǎngyǎnjīng
不長進,bùzhǎngjìn
不露神色,bùlòushénsè
不露聲色,bùlòushēngsè
不露身手,bùlòushēnshǒu
不露鋒芒,bùlòufēngmáng
不露風聲,bùlòufēngshēng
不露馬腳,bùlòumǎjiǎo
不順溜,bùshùnliu
不顧青紅皁白,bùgùqīnghóngzàobái
不騰騰,bùténgténg　（又音）bùtēngtēng
不高的東西,bùgāodedōngxī
不高興,bùgāoxìng
不點兒,bù　diǎnr　(變)bù　diǎr
不龜手藥,bùjūnshǒuyào
不龜藥,bùjūnyào
丏,miǎn
丐,gài
丑,chǒu
丑婆子,chǒupózi
丑角,chǒujué
且,qiě
且夫,qiěfú
且月,jūyuè
丕,pī
世,shì
世伯,shìbó
世界銀行,shìjièyínháng
丘,qiū
丘處機,qiūchǔjī
丙,bǐng
丙馭吐茵,bǐngyùtùyīn
丞,chéng
丞相,chéngxiàng
丟,diū
丟三忘四,diūsānwàngsì
丟三落四,diūsānlàsì
丟下耙兒弄掃帚,diūxiàpárnòngsàozhǒu
丟撇,diūpiě
丟油撒水,diūyóusǎshuǐ
丟溜,diūliū
丟眉弄眼,diūméinòngyǎn
丟眉弄色,diūméinòngsè
丟面子,diūmiànzi
丟風撒腳,diūfēngsājiǎo
並,bìng
並存不悖,bìngcúnbùbèi
並無不當,bìngwúbùdàng
並行不悖,bìngxíngbùbèi
丨,gǔn
丩,jiū
丫,yā
丫子,yāzi
丫巴兒,yābar
丫頭,yātou
丫頭片子,yātoupiànzi
丫鬟,yāhuan
中,zhōng
中不溜兒,zhōngbùliūr
中使,zhòngshǐ
中傷,zhòngshāng
中古車,zhōnggǔchē
中吃,zhòngchī
中和反應,zhōnghéfǎnyìng
中國大百科全書,zhōngguódàbǎikēquánshū
中國銀行,zhōngguóyínháng
中場,zhōngchǎng
中央處理機,zhōngyāngchǔlǐjī
中央銀行,zhōngyāngyínháng
中寒,zhònghán
中將,zhōngjiàng
中山高速公路,zhōngshāngāoshùgōnglù
中彈,zhòngdàn
中彩,zhòngcǎi
中心匯率,zhōngxīnhuìlǜ
中惡,zhòngè
中意,zhòngyì
中懣之症,zhòngmènzhīzhèng
中散大夫,zhōngsǎndàfū
中暑,zhòngshǔ
中暗箭,zhòngànjiàn
中朝,zhōngcháo
中標,zhòngbiāo
中毒,zhòngdú
中洋脊,zhōngyángjí
中浣,zhōngwǎn
中狀元,zhòngzhuàngyuán
中獎,zhòngjiǎng
中用,zhòngyòng
中痰,zhòngtán
中的,zhòngdì
中看,zhòngkàn
中看不中吃,zhòngkànbùzhòngchī
中秋帖,zhōngqiūtiè
中竅,zhòngqiào
中箭,zhòngjiàn
中節,zhòngjié
中簽,zhòngqiān
中縫,zhōngfèng
中耕,zhōnggēng
中聽,zhòngtīng
中肯,zhòngkěn
中舉,zhòngjǔ
中華兒童百科全書,zhōnghuáértóngbǎikēquánshū
中華民國資訊產品反仿冒聯盟,zhōnghuámínguózīxùnchǎnpínfǎnfǎngmàoliánméng
中藏,zhōngzàng
中藥鋪,zhōngyàopù
中行,zhōngxìng
中規中矩,zhòngguīzhòngjǔ
中覺,zhōngjiào
中調,zhōngdiào
中路梆子,zhōnglùbāngzi
中選,zhòngxuǎn
中邪,zhòngxié
中郎將,zhōnglángjiàng
中鏢,zhòngbiāo
中音,zhòngyīn
中風,zhòngfēng
丮,jí
丰,fēng
丰茸,fēngrǒng
丱,guàn
串,chuàn
串子,chuànzi
串秧兒,chuànyāngr
串親戚,chuànqīnqi
串門子,chuànménzi
串鼻子,chuànbízi
丳,chàn
丶,zhǔ
丸,wán
丸子,wánzi
丹,dān
丹丘,dānqì
丹參,dānshēn
丹墀,dānzhōng
丹客,dānguì
丹干,dānlún
丹心,dānxīn
丹心碧血,dānxīnbìxiě
丹忱,dānchí
丹書鐵券,dānshūtiěqì
丹款,dānkè
丹氣,dānjué
丹溜,dānniǎo
丹甑,dānzào
丹田,dāntián
丹禁,dānhuáng
丹經,dānjìn
丹荑,dānzèng
丹訣,dānjué
丹誠,dānchén
丹誠相許,dānchéngbùmǐn
丹輪,dānliū
丹霄,dānxiá
丹霞,dānxī
丹頂鶴,dāndǐnghè
丹麥人,dānmàirén
丹麥學派,dānmàixuépài
丹麥式體操,dānmàishìtǐcāo
丹麥語,dānmàiyǔ
丹黃,dānhuáng
主,zhǔ
主兒,zhǔr
主子,zhǔzi
主將,zhǔjiàng
主導,zhǔdǎo
主導詞,zhǔdǎocí
主帥,zhǔshuài
主從,zhǔzòng
主從式架構,zhǔzòngshìjiàgòu
主從式資料庫,zhǔzòngshìzīliàokù
主從架構,zhǔzòngjiàgòu
主從架構資訊網路,zhǔzòngjiàgòuzīxùnwǎnglù
主心骨兒,zhǔxīngǔr
主治大夫,zhǔzhìdàifu
主角,zhǔjué　（又音）zhǔjiǎo
主調音,zhǔdiàoyīn
主軸,zhǔzhóu
主題曲,zhǔtíqǔ
丿,piě
乂,yì
乃,nǎi
久,jiǔ
久別重逢,jiǔbiéchóngféng
久要,jiǔyāo
么,yāo
么二三的,yāoèrsānde
么喝,yāohe
之,zhī
之死靡他,zhīsǐmǐtuō
之死靡它,zhīsǐmǐtuō
乍,zhà
乍熟,zhàshú
乍猛的,zhàměngde
乍著膽子,zhàzhedǎnzi
乎,hū
乏,fá
乏樣子,fáyàngzi
乏角兒,fá　juér　(變)fá　juér
乒,pīng
乓,pāng
乖,guāi
乖乖兒的,guāiguāirde(變)guāiguārde
乖乖的,guāiguāide
乖僻,guāipì
乖子,guāizi
乖性兒,guāixìngr
乖調,guāidiào
乖迕,guāiwù
乖間,guāijiàn
乖離率,guāilílǜ
乘,chéng
乘傳,chéngzhuàn
乘勝逐北,chéngshèngzhúbò
乘機應變,chéngjīyìngbiàn
乘肥衣輕,chéngféiyìqīng
乘興,chéngxìng
乘興而來,chéngxìngérlái
乘車,chéngchē
乘車戴笠,chéngchēdàilì
乘軒鶴,chéngxuānhè
乘間,chéngjiàn
乘間投隙,chéngjiàntóuxì
乘鶴,chénghè
乘鶴駕雲,chénghèjiàyún
乙,yǐ
乙炔,yǐquē
乜,miē
乜乜踅踅,miēmiēxuéxué
乜斜,miēxie
乜斜眼,miēxieyǎn
九,jiǔ
九吊六的,jiǔdiàoliùde
九流百家,jiǔliúbǎijiā
九牛去得一毛,jiǔniúqùdeyīmáo
九牛拉不轉,jiǔniúlābùzhuàn
九百,jiǔbǎi
九芎,jiǔqiōng
九華,jiǔhuā
九重,jiǔchóng
九重天,jiǔchóngtiān
九重葛,jiǔchónggé
九重霄,jiǔchóngxiāo
九頭牛也拽不出去,jiǔtóuniúyězhuàibùchūqù
乞,qǐ
乞乞縮縮,qǐqǐsùsù
乞兒乘小車,qǐérchéngxiǎochē
乞窮儉相,qǐqióngjiǎnxiàng
乞降,qǐxiáng
也,yě
也曾,yěcéng
乣,diū
乩,jī
乳,rǔ
乳濁液,rǔzhuóyè
乳癌,rǔyán　（又音）rǔái
乳白,rǔbái
乳白色,rǔbáisè
